Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.1,15.7,❌,❌,❌,94.6,❌,—
MERKO,29.3,20.9,✅,✅,✅,-10.6,❌,—
BARMA,,22.9,❌,❌,❌,76.2,❌,—
SEKFK,34.8,23.2,✅,❌,✅,89.0,❌,—
FORMT,35.4,23.2,❌,✅,❌,65.5,❌,—
IHYAY,37.7,25.8,❌,✅,❌,87.7,❌,—
OTTO,35.8,26.7,❌,✅,❌,76.9,❌,—
IMASM,40.3,27.8,❌,❌,❌,10.1,❌,—
VESBE,31.4,27.8,❌,❌,❌,92.3,❌,—
ALVES,,28.0,❌,❌,❌,-26.1,❌,—
TEZOL,40.6,28.0,❌,❌,❌,82.8,❌,—
MEGAP,38.9,28.7,❌,✅,❌,63.1,❌,—
USAK,39.4,28.7,❌,✅,❌,85.3,❌,—
SURGY,,29.3,❌,❌,❌,17.7,❌,—
IHLAS,39.8,29.5,✅,✅,✅,88.2,❌,—
ZOREN,35.8,30.1,✅,❌,✅,81.4,❌,—
YBTAS,37.6,30.4,❌,❌,❌,3.9,❌,—
TMSN,38.9,30.4,✅,❌,✅,98.4,✅,—
ARFYE,,30.5,❌,❌,❌,,❌,—
BMSCH,44.7,30.6,❌,❌,❌,76.2,❌,—
CVKMD,44.9,30.6,✅,❌,✅,96.9,✅,—
EKIZ,44.2,30.7,✅,❌,✅,95.3,✅,—
VAKFN,46.2,30.8,✅,✅,✅,98.3,✅,🟢
NATEN,37.7,30.9,✅,✅,✅,94.8,❌,—
LIDER,42.1,31.0,❌,❌,❌,76.5,❌,—
YYAPI,40.4,31.1,❌,✅,❌,84.3,❌,—
AKYHO,40.7,31.2,❌,❌,❌,98.0,✅,—
SODSN,39.2,31.4,❌,✅,❌,76.6,❌,—
GENTS,44.2,31.6,✅,✅,✅,95.6,✅,🟢
AGROT,34.2,31.9,❌,❌,❌,-211.9,❌,—
LRSHO,41.7,32.0,❌,❌,❌,84.1,❌,—
KZBGY,41.4,32.0,✅,✅,✅,85.3,❌,—
