build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AYCES,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,465.0,749.0,454.25,454.25,Formasyon kendi içinde teyitli,749.0,749.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BARMA,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,25.08,82.0,25.08,25.08,Formasyon kendi içinde teyitli,82.0,82.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BORLS,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,5.36,8.56,5.31,5.31,Formasyon kendi içinde teyitli,8.56,8.56 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BRLSM,AYLIK,Evening Star,A,AYI,AYI TEYİDİ,2026-07-31,,15.15,25.48,14.76,14.76,Formasyon kendi içinde teyitli,25.48,25.48 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DSTKF,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,1798.0,3960.0,1680.0,1680.0,Formasyon kendi içinde teyitli,3960.0,3960.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DURDO,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,4.95,5.67,4.55,4.55,Formasyon kendi içinde teyitli,5.67,5.67 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ENDAE,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,15.12,23.76,14.9,14.9,Formasyon kendi içinde teyitli,23.76,23.76 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,HRKET,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,94.9,142.9,92.0,92.0,Formasyon kendi içinde teyitli,142.9,142.90 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,INDES,AYLIK,Evening Star,A,AYI,AYI TEYİDİ,2026-07-31,,9.76,12.85,9.76,9.76,Formasyon kendi içinde teyitli,12.85,12.85 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KARSN,AYLIK,Evening Star,A,AYI,AYI TEYİDİ,2026-07-31,,9.95,15.25,9.95,9.95,Formasyon kendi içinde teyitli,15.25,15.25 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KLMSN,AYLIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-07-31,,27.34,36.42,27.2,27.2,Formasyon kendi içinde teyitli,36.42,36.42 üstü formasyonu bozar
